ST,AGEP,COW,SCHL,SEX,WKHP,YOEP,ANC1P,DECADE,INDP,PINCP,POBP,RAC2P
4,20,1,19,1,20,1993,750,6,8680,13000,217,49
4,26,NA,16,1,NA,2012,750,7,NA,0,217,49
4,69,NA,20,2,NA,1968,750,3,NA,13500,217,49
4,22,3,21,1,10,1992,750,6,9470,4700,217,49
4,77,6,19,2,NA,1956,750,2,8680,9500,217,49
4,43,1,21,2,45,1975,750,4,6870,43001,217,49
4,41,4,22,2,40,1978,750,4,7860,54000,217,49
4,29,1,22,2,45,1984,750,5,7670,70000,217,49
4,62,NA,16,2,NA,1978,750,4,NA,0,217,49
4,50,1,18,2,40,1964,750,3,6870,50000,217,49
4,35,NA,21,2,NA,2002,750,7,NA,0,217,49
4,43,1,22,1,40,2002,750,7,5170,11400,217,49
4,54,2,22,1,40,1988,750,5,9160,50000,217,49
4,52,NA,22,2,NA,1988,750,5,NA,0,217,49
4,37,NA,21,2,NA,2012,750,7,NA,0,217,49
4,9,NA,6,1,NA,2012,750,7,NA,NA,217,49
4,7,NA,4,1,NA,2012,750,7,NA,NA,217,49
4,46,1,24,2,55,1981,750,5,7870,80000,217,49
4,57,NA,16,2,NA,1975,750,4,NA,4100,217,49
4,55,7,18,2,60,1982,999,5,8970,40000,217,49
4,63,6,18,1,NA,1976,750,4,8660,15600,217,49
4,63,6,22,2,NA,1976,750,4,8660,0,217,49
4,74,NA,16,2,NA,1971,750,4,NA,1,217,49
4,57,1,15,2,40,1978,750,4,3470,40000,217,49
4,69,6,16,1,NA,1976,750,4,5190,10500,217,49
4,67,NA,16,2,NA,1970,750,4,NA,11100,217,49
4,25,1,19,1,30,1988,750,5,8680,1800,217,49
4,32,3,21,1,40,1989,750,5,9490,50000,217,49
4,32,NA,21,1,NA,2007,750,7,NA,0,217,49
4,6,NA,2,1,NA,2007,750,7,NA,NA,217,49
4,41,1,21,1,40,1974,750,4,6990,55000,217,49
4,36,1,18,2,24,2001,750,7,8680,12000,217,49
4,53,1,24,1,40,2005,750,7,7460,55500,217,49
4,53,NA,21,2,NA,2005,750,7,NA,50,217,49
4,38,NA,21,2,NA,1977,750,4,NA,0,217,49
4,32,9,23,1,NA,1986,750,5,9920,0,217,49
4,60,NA,21,1,NA,1986,750,5,NA,14400,217,49
4,57,9,21,2,NA,1986,750,5,9920,0,217,49
4,45,1,21,1,40,2003,750,7,4195,169900,217,49
4,36,NA,18,2,NA,2003,750,7,NA,0,217,49
4,12,NA,9,1,NA,2003,750,7,NA,NA,217,49
4,33,4,22,1,20,2008,750,7,7870,20201,217,49
4,32,1,21,2,NA,2009,750,7,3390,0,217,49
4,56,NA,16,2,NA,1980,750,5,NA,580,217,49
4,56,7,19,1,50,1976,750,4,6190,55000,217,49
4,52,1,19,2,36,1986,750,5,5170,3200,217,49
4,36,1,21,1,40,1990,750,6,2190,55000,217,49
4,20,2,16,2,12,1993,750,6,7870,4000,217,49
4,18,NA,14,1,NA,1994,750,6,NA,0,217,49
4,48,1,20,2,25,2007,750,7,8680,10000,217,49
4,82,NA,16,1,NA,1974,750,4,NA,21300,217,49
4,67,NA,21,2,NA,1990,750,6,NA,4600,217,49
4,31,1,21,2,40,1982,750,5,7460,45000,217,49
4,53,1,11,2,40,1998,750,6,8590,30000,217,49
4,48,1,20,1,45,1986,750,5,3390,85070,217,49
4,71,NA,20,2,NA,1942,750,1,NA,0,217,49
4,43,1,24,1,40,1977,750,4,3390,187000,217,49
4,58,6,16,1,50,1983,750,5,1680,19000,217,49
4,59,7,16,2,50,1985,750,5,1680,19000,217,49
4,29,NA,21,1,NA,2012,750,7,NA,0,217,49
4,34,1,16,2,NA,1982,750,5,7290,0,217,49
4,43,6,19,1,50,1986,750,5,5170,66000,217,49
4,43,NA,19,2,NA,1993,750,6,NA,0,217,49
4,72,NA,16,1,NA,1986,750,5,NA,8900,217,49
4,68,NA,16,2,NA,1986,750,5,NA,5500,217,49
4,55,6,16,1,40,1992,750,6,5390,400,217,49
4,54,6,16,2,40,1992,750,6,5570,33000,217,49
4,24,1,19,2,40,1992,750,6,6070,8000,217,49
4,22,NA,19,1,NA,1992,750,6,NA,0,217,49
4,22,NA,21,2,NA,2007,750,7,NA,0,217,49
4,62,NA,15,2,NA,1972,750,4,NA,2000,217,49
4,9,NA,7,1,NA,2003,750,7,NA,NA,217,49
4,6,NA,4,1,NA,2006,750,7,NA,NA,217,49
4,35,6,19,2,50,1980,750,5,5490,13600,217,49
4,65,6,18,2,24,1973,750,4,5170,13700,217,49
4,28,1,19,1,10,1985,750,5,6890,500,217,49
4,24,2,21,2,40,1989,750,5,8190,6000,217,49
4,65,1,16,2,NA,1977,750,4,8680,6000,217,49
4,24,1,18,1,60,1994,750,6,8680,12000,217,49
4,56,8,18,2,30,1994,750,6,8680,8000,217,49
