ST,AGEP,COW,SCHL,SEX,WKHP,YOEP,ANC1P,DECADE,INDP,PINCP,POBP,RAC2P
6,18,NA,16,2,NA,2009,750,7,NA,0,217,49
6,65,NA,21,2,NA,1973,750,4,NA,10000,217,49
6,81,5,21,1,NA,1971,750,4,9480,30700,217,49
6,76,NA,19,2,NA,1970,750,4,NA,0,217,49
6,69,NA,9,2,NA,1994,750,6,NA,10300,217,49
6,43,1,22,1,60,1970,750,4,3390,165020,217,49
6,38,1,21,2,40,1979,750,4,3365,83000,217,49
6,43,6,18,1,60,1980,750,5,7770,14000,217,49
6,35,6,21,2,50,2000,750,7,4390,25000,217,49
6,41,2,19,1,3,1980,750,5,9160,12600,217,49
6,38,1,19,1,40,1980,750,5,7690,49600,217,49
6,64,1,16,2,40,1980,750,5,3365,28500,217,49
6,29,1,21,1,40,1994,750,6,7890,57000,217,49
6,28,1,18,1,40,1994,750,6,7890,57000,217,49
6,62,7,18,1,40,1992,750,6,7890,84000,217,49
6,53,1,18,2,40,1994,750,6,7890,36000,217,49
6,56,2,21,2,45,1971,750,4,7970,91000,217,49
6,65,2,19,2,16,1971,750,4,8190,76120,217,49
6,65,1,16,1,40,1978,750,4,1470,36100,217,49
6,66,3,22,2,NA,1973,750,4,7860,26700,217,49
6,65,1,24,1,16,1971,750,4,7460,93600,217,49
6,23,1,21,2,40,2009,750,7,7270,35000,217,49
6,30,NA,16,1,NA,2008,750,7,NA,18000,217,49
6,87,NA,16,1,NA,1974,750,4,NA,10700,217,49
6,60,NA,19,2,NA,1977,750,4,NA,10300,217,49
6,18,2,16,1,10,2011,750,7,7870,7500,217,49
6,43,6,21,1,4,2012,750,7,7890,11000,217,49
6,32,1,23,1,60,1985,750,5,8190,50000,217,49
6,33,NA,19,1,NA,2003,750,7,NA,0,217,49
6,24,NA,16,2,NA,2011,750,7,NA,0,217,49
6,89,NA,19,2,NA,1977,750,4,NA,15500,217,49
6,58,1,16,1,30,1984,750,5,1680,15000,217,49
6,55,1,16,2,40,1986,750,5,1680,25000,217,49
6,23,4,21,1,40,1995,750,6,9370,20001,217,49
6,41,NA,24,2,NA,2009,750,7,NA,0,217,49
6,31,1,21,2,NA,1992,750,6,6670,0,217,49
6,94,NA,12,2,NA,1981,750,5,NA,10400,217,49
6,57,1,16,1,NA,2003,750,7,4970,18800,217,49
6,81,NA,15,2,NA,1972,750,4,NA,10500,217,49
6,72,7,23,1,40,1973,750,4,7970,167000,217,49
6,70,NA,21,2,NA,1969,750,3,NA,0,217,49
6,45,NA,21,2,NA,1973,750,4,NA,0,217,49
6,53,1,19,2,NA,1982,750,5,4390,0,217,49
6,76,NA,22,1,NA,1973,750,4,NA,13200,217,49
6,74,NA,21,2,NA,1973,750,4,NA,5000,217,49
6,28,9,16,2,NA,2007,750,7,9920,0,217,49
6,45,1,21,1,50,2002,750,7,1190,72000,217,49
6,42,1,21,2,20,2002,750,7,1990,18000,217,49
6,13,NA,10,2,NA,2002,750,7,NA,NA,217,49
6,11,NA,9,2,NA,2002,750,7,NA,NA,217,49
6,44,6,22,2,NA,1983,750,5,6670,0,217,49
6,48,4,22,1,20,1985,750,5,7870,421000,217,49
6,76,2,21,1,NA,1968,750,3,9160,0,217,49
6,58,1,16,2,24,1995,750,6,8680,13000,217,49
6,59,1,16,1,40,1995,750,6,7680,15000,217,49
6,82,NA,9,2,NA,1974,750,4,NA,10100,217,49
6,64,NA,19,2,NA,1984,750,5,NA,4000,217,49
6,30,1,19,1,40,1987,750,5,6780,40000,217,49
6,56,5,21,1,40,1985,750,5,6370,55000,217,49
6,84,NA,1,1,NA,2000,750,7,NA,11600,217,49
6,23,1,20,2,25,1997,750,6,8680,10100,217,49
6,31,1,21,1,30,1997,750,6,8680,12000,217,49
6,53,1,21,2,40,1984,750,5,6290,54000,217,49
6,60,NA,21,1,NA,1977,999,4,NA,20000,217,49
6,50,2,21,1,40,1996,750,6,9160,140000,217,49
6,49,1,16,2,40,1996,750,6,5170,30000,217,49
6,36,1,22,1,40,2006,750,7,3390,96010,217,49
6,36,4,24,2,40,2004,750,7,7870,19210,217,49
6,71,NA,16,1,NA,1998,750,6,NA,0,217,49
6,71,NA,16,2,NA,1998,750,6,NA,0,217,49
6,50,NA,22,2,NA,1970,750,4,NA,0,217,49
6,50,2,24,1,40,1978,750,4,3590,184400,217,49
6,64,3,21,1,40,1985,750,5,8190,60000,217,49
6,56,7,16,2,40,1985,750,5,5570,20000,217,49
6,37,7,22,2,30,1990,750,6,7890,52900,217,49
6,30,1,22,1,45,1985,750,5,3180,100000,217,49
6,45,1,22,1,40,1980,750,5,7380,151200,217,49
6,46,2,19,2,NA,1970,750,4,9170,11800,217,49
6,48,6,21,1,40,1982,750,5,3390,40000,217,49
6,34,2,22,1,28,2009,750,7,9160,14000,217,49
6,33,NA,16,2,NA,2009,750,7,NA,0,217,49
6,39,1,21,1,40,1987,750,5,3570,85000,217,49
6,53,7,16,1,40,2009,750,7,8680,30000,217,49
6,28,7,16,2,40,2009,750,7,8680,25000,217,49
6,45,6,16,1,40,1986,939,5,770,3000,217,49
6,42,1,20,2,50,2007,750,7,8980,12000,217,49
6,14,NA,12,2,NA,2000,750,7,NA,NA,217,49
6,53,1,16,1,60,2008,750,7,1190,14400,217,49
6,44,NA,16,2,NA,2008,750,7,NA,0,217,49
6,18,1,14,2,24,2008,750,7,5170,3200,217,49
6,14,NA,10,1,NA,2008,750,7,NA,NA,217,49
6,37,1,22,1,50,2013,750,7,2070,70000,217,49
6,32,NA,21,2,NA,2013,750,7,NA,0,217,49
6,5,NA,1,1,NA,2013,750,7,NA,NA,217,49
6,1,NA,NA,2,NA,2013,750,7,NA,NA,217,49
6,45,1,19,2,40,1975,750,4,6890,2700,217,49
6,83,NA,1,2,NA,2001,750,7,NA,10000,217,49
6,42,3,22,2,35,1986,795,5,7860,68000,217,49
6,40,4,23,1,40,1995,750,6,7870,30000,217,49
6,84,NA,16,2,NA,1973,750,4,NA,21300,217,49
6,40,NA,19,2,NA,1992,750,6,NA,0,217,49
6,42,7,22,1,45,1986,750,5,1680,28000,217,49
6,63,1,21,2,54,1979,750,4,5170,61000,217,49
6,72,NA,21,1,NA,1982,750,5,NA,0,217,49
6,26,NA,12,2,NA,2007,750,7,NA,0,217,49
6,37,1,21,1,50,1977,750,4,6970,150000,217,49
6,33,1,21,2,40,2004,750,7,4170,50000,217,49
6,45,NA,21,2,NA,2011,750,7,NA,0,217,49
6,50,NA,21,1,NA,2011,750,7,NA,0,217,49
6,18,NA,14,1,NA,2011,750,7,NA,0,217,49
6,28,NA,16,1,NA,2004,750,7,NA,24000,217,49
6,61,1,20,2,NA,1978,999,4,7290,0,217,49
6,51,1,21,2,40,1965,750,3,6070,48000,217,49
6,50,2,21,1,40,2010,750,7,9160,12000,217,49
6,42,NA,21,1,NA,2003,750,7,NA,0,217,49
6,40,1,21,2,40,2004,999,7,7280,24000,217,49
6,20,NA,16,1,NA,2004,999,7,NA,0,217,49
6,79,NA,14,2,NA,1990,750,6,NA,22300,217,49
6,40,1,23,2,40,1979,750,4,8190,421000,217,49
6,29,3,21,2,40,1997,750,6,7870,22800,217,49
6,32,NA,21,1,NA,1992,750,6,NA,0,217,49
6,73,1,21,1,NA,1971,750,4,3580,20900,217,49
6,69,1,21,2,40,1971,750,4,3095,45900,217,49
6,45,1,19,1,NA,1971,750,4,6380,0,217,49
6,44,1,16,2,40,2002,750,7,6870,28000,217,49
6,64,1,21,2,NA,1976,750,4,5790,5000,217,49
6,63,1,22,1,NA,1976,750,4,4795,0,217,49
6,44,1,22,2,30,1975,750,4,5080,70000,217,49
6,44,1,22,1,40,1974,750,4,6990,130000,217,49
6,3,NA,2,2,NA,2011,750,7,NA,NA,217,49
6,57,1,18,2,35,1961,750,3,6970,21500,217,49
6,40,1,20,1,45,1974,750,4,7380,65000,217,49
6,42,1,21,1,40,1999,750,6,1680,54000,217,49
6,41,NA,21,2,NA,1999,750,6,NA,0,217,49
6,60,6,1,2,NA,1977,750,4,8690,0,217,49
6,84,1,16,1,40,1976,750,4,4580,78200,217,49
6,83,NA,16,2,NA,1976,750,4,NA,12600,217,49
6,64,1,19,1,40,1979,750,4,4580,48000,217,49
6,33,2,21,2,50,1981,750,5,8390,32000,217,49
6,60,NA,19,2,NA,1981,750,5,NA,0,217,49
6,55,5,18,1,40,1966,999,3,8680,43210,217,49
6,29,1,21,2,40,1985,750,5,5380,16800,217,49
6,56,1,18,1,40,1998,999,6,8770,45000,217,49
6,56,3,18,2,40,1992,999,6,9480,32000,217,49
6,31,1,16,2,NA,2008,999,7,1990,2000,217,49
6,28,NA,20,2,NA,2007,999,7,NA,0,217,49
6,25,1,19,1,40,1990,750,6,5390,1200,217,49
6,86,NA,16,2,NA,1983,750,5,NA,9600,217,49
6,46,1,22,1,40,2002,750,7,4585,34000,217,49
6,36,7,21,2,25,2002,750,7,4585,20000,217,49
6,63,1,16,1,NA,1992,750,6,6470,8200,217,49
6,56,1,16,2,NA,1991,750,6,8270,8800,217,49
6,59,1,16,2,12,1980,750,5,4470,60000,217,49
6,66,NA,21,1,NA,1979,750,4,NA,9000,217,49
6,33,8,22,1,NA,1980,750,5,4970,0,217,49
6,51,1,21,1,40,1993,750,6,6290,50000,217,49
6,48,NA,21,2,NA,1990,750,6,NA,0,217,49
6,41,3,21,1,40,1986,750,5,9470,123600,217,49
6,40,1,21,2,40,2002,750,7,5170,5200,217,49
6,18,3,18,2,40,2013,999,7,8590,2000,217,49
6,65,NA,6,2,NA,1973,750,4,NA,0,217,49
6,36,2,20,2,36,2001,750,7,8190,21900,217,49
6,33,1,21,1,40,2005,750,7,1280,50000,217,49
6,36,1,22,1,50,2006,750,7,4795,120000,217,49
6,34,1,22,2,50,2008,750,7,3390,125000,217,49
6,49,6,22,1,40,1987,750,5,7390,20000,217,49
6,52,2,24,1,35,1986,750,5,9160,14400,217,49
6,49,NA,19,2,NA,1986,750,5,NA,0,217,49
6,57,1,21,1,48,1973,750,4,7460,140000,217,49
6,46,1,19,2,37,1971,795,4,5170,40000,217,49
6,20,4,19,1,12,1999,750,6,5370,1000,217,49
6,65,2,22,1,5,1977,750,4,9160,18300,217,49
6,61,NA,16,2,NA,1977,750,4,NA,0,217,49
6,37,1,22,2,NA,1977,750,4,7970,21600,217,49
6,47,7,23,1,40,1978,750,4,7970,160000,217,49
6,43,NA,21,2,NA,1982,750,5,NA,0,217,49
6,35,4,19,2,38,1984,999,5,8090,80000,217,49
6,55,1,16,1,40,2000,750,7,6170,16000,217,49
6,53,1,16,2,40,2000,750,7,8680,16700,217,49
6,27,1,21,2,40,2000,750,7,6290,54000,217,49
6,17,NA,14,1,NA,2000,750,7,NA,0,217,49
6,47,NA,16,2,NA,1997,750,6,NA,0,217,49
6,47,1,16,2,40,1990,750,6,3960,20000,217,49
6,37,1,22,2,40,2005,750,7,7280,25000,217,49
6,57,2,23,1,50,1965,750,3,8090,170000,217,49
6,60,7,22,2,35,1996,750,6,5280,12600,217,49
6,64,7,22,1,40,1995,750,6,5280,16000,217,49
6,35,1,21,2,40,1996,750,6,7370,40000,217,49
6,38,1,18,2,35,1977,750,4,7980,70000,217,49
6,51,6,22,1,40,1977,750,4,7860,20500,217,49
6,44,1,17,1,30,2004,999,7,6390,21000,217,49
6,94,NA,16,2,NA,1987,750,5,NA,8400,217,49
6,31,1,21,1,45,1984,750,5,5170,65000,217,49
6,31,1,21,2,40,1984,999,5,8190,60000,217,49
6,57,NA,16,1,NA,1990,999,6,NA,0,217,49
6,56,NA,16,2,NA,1985,999,5,NA,0,217,49
6,36,1,24,1,20,2009,750,7,7870,50000,217,49
6,36,NA,22,2,NA,2009,750,7,NA,0,217,49
6,4,NA,2,1,NA,2009,750,7,NA,NA,217,49
6,78,NA,21,2,NA,1984,750,5,NA,10300,217,49
6,58,1,21,2,NA,1994,750,6,8680,0,217,49
6,94,NA,21,1,NA,1979,750,4,NA,7200,217,49
6,39,1,21,1,40,1977,750,4,3895,91000,217,49
6,49,1,19,1,40,1982,750,5,7390,102000,217,49
6,55,2,21,2,40,1975,750,4,8190,68700,217,49
6,57,1,15,2,NA,1976,795,4,1680,21000,217,49
6,41,1,22,2,50,1980,750,5,6780,157000,217,49
6,48,6,16,2,40,2003,750,7,9070,36000,217,49
6,23,1,19,1,20,2003,750,7,8680,12000,217,49
6,19,9,19,2,NA,2003,750,7,9920,0,217,49
6,51,6,19,1,45,1989,750,5,3190,-5400,217,49
6,47,9,16,2,NA,1996,750,6,9920,0,217,49
6,39,1,21,2,48,1980,750,5,8660,80000,217,49
6,51,7,19,1,40,1985,750,5,1990,29700,217,49
6,52,1,19,2,40,1982,750,5,1990,29700,217,49
6,86,NA,21,1,NA,2000,750,7,NA,6300,217,49
6,74,NA,22,2,NA,2012,999,7,NA,30000,217,49
6,80,NA,24,1,NA,1976,750,4,NA,7200,217,49
6,64,NA,19,1,NA,1974,750,4,NA,28000,217,49
6,60,NA,20,2,NA,1979,750,4,NA,0,217,49
6,45,1,21,2,96,1991,999,6,8370,8000,217,49
6,45,1,19,1,20,1997,999,6,7680,10000,217,49
6,25,1,16,2,40,2010,999,7,5570,8000,217,49
6,24,NA,19,1,NA,2008,750,7,NA,0,217,49
6,75,7,1,1,NA,1990,750,6,8770,9700,217,49
6,66,NA,1,2,NA,1991,750,6,NA,8100,217,49
6,54,6,16,2,NA,1989,750,5,5170,36000,217,49
6,25,1,21,1,40,2006,750,7,2290,22800,217,49
6,27,NA,21,2,NA,2013,750,7,NA,0,217,49
6,43,1,21,2,20,1974,750,4,8590,43000,217,49
6,21,1,19,2,8,2002,750,7,7870,2000,217,49
6,21,1,16,2,4,2001,750,7,7870,500,217,49
6,76,1,9,1,40,1975,750,4,3590,31000,217,49
6,68,1,1,2,NA,1975,750,4,4470,7800,217,49
6,62,NA,22,2,NA,1973,750,4,NA,28000,217,49
6,86,NA,20,2,NA,1972,750,4,NA,48000,217,49
6,56,NA,12,2,NA,2002,750,7,NA,0,217,49
6,89,NA,19,2,NA,1977,750,4,NA,15500,217,49
6,75,NA,21,1,NA,1980,750,5,NA,82000,217,49
6,71,1,21,2,40,1980,750,5,8190,100000,217,49
6,61,1,19,1,40,1994,999,6,8870,24000,217,49
6,53,6,16,2,NA,1980,999,5,4970,14000,217,49
6,45,1,21,2,30,1974,750,4,6990,41180,217,49
6,45,1,22,1,50,1970,750,4,7280,165000,217,49
6,54,NA,20,2,NA,1973,750,4,NA,13200,217,49
6,84,NA,16,1,NA,1981,750,5,NA,7200,217,49
6,84,NA,16,2,NA,1981,750,5,NA,7200,217,49
6,50,6,21,1,60,1990,750,6,2890,40000,217,49
6,38,1,16,2,40,2008,750,7,6870,28000,217,49
6,45,7,16,1,70,1979,750,4,1370,320000,217,49
6,52,5,20,1,40,1984,750,5,6370,58800,217,49
6,52,6,16,2,NA,1985,750,5,8680,0,217,49
6,53,1,16,2,35,1987,750,5,8680,14000,217,49
6,74,NA,19,1,NA,1977,750,4,NA,9600,217,49
6,32,1,19,1,40,1995,750,6,3390,14000,217,49
6,63,4,21,2,NA,1995,750,6,7860,0,217,49
6,77,NA,11,2,NA,1971,750,4,NA,16100,217,49
6,54,2,22,1,50,1986,750,5,7870,95000,217,49
6,53,NA,22,2,NA,1986,999,5,NA,0,217,49
6,60,1,20,2,40,1972,750,4,6870,130000,217,49
6,62,NA,16,1,NA,1970,750,4,NA,1900,217,49
6,65,6,21,2,3,1968,750,3,4870,30000,217,49
6,33,3,22,2,40,1982,750,5,8370,72000,217,49
6,47,1,22,1,50,1969,750,3,7380,400000,217,49
6,9,NA,5,1,NA,2010,750,7,NA,NA,217,49
6,4,NA,2,2,NA,2009,750,7,NA,NA,217,49
6,72,NA,16,1,NA,1986,750,5,NA,10800,217,49
6,23,NA,19,2,NA,2012,750,7,NA,0,217,49
6,27,NA,23,2,NA,2006,750,7,NA,80,217,49
6,39,7,22,1,40,2012,750,7,8090,48000,217,49
6,37,NA,22,2,NA,1991,999,6,NA,0,217,49
6,32,1,21,2,40,1998,999,6,8190,30000,217,49
6,77,NA,12,2,NA,1973,999,4,NA,10000,217,49
6,46,1,23,1,40,1974,750,4,7270,144000,217,49
6,40,NA,24,1,NA,2007,750,7,NA,0,217,49
6,38,1,16,1,40,2008,999,7,1680,36000,217,49
6,35,1,20,2,NA,2003,999,7,8680,5000,217,49
6,53,7,21,1,40,1986,750,5,5590,140000,217,49
6,51,NA,21,2,NA,1986,750,5,NA,0,217,49
6,41,1,22,1,40,2005,750,7,6870,70000,217,49
6,36,NA,21,2,NA,2005,750,7,NA,0,217,49
6,12,NA,9,2,NA,2005,750,7,NA,NA,217,49
6,35,1,19,2,40,2005,750,7,8590,36000,217,49
6,64,6,16,2,NA,1975,750,4,8680,0,217,49
6,55,1,22,1,40,2001,750,7,1070,192000,217,49
6,55,NA,21,2,NA,2010,750,7,NA,1000,217,49
6,35,1,21,2,40,1993,750,6,7070,71000,217,49
6,38,1,21,1,40,2007,750,7,8190,421000,217,49
6,72,NA,16,1,NA,1993,750,6,NA,8400,217,49
6,65,NA,16,2,NA,1993,750,6,NA,0,217,49
6,42,7,16,2,40,2007,750,7,6570,30000,217,49
6,59,1,16,2,40,1986,750,5,8660,21000,217,49
6,81,NA,21,2,NA,2004,750,7,NA,20900,217,49
6,75,6,21,1,30,1972,750,4,8770,61200,217,49
6,72,8,21,2,NA,1973,750,4,8770,7700,217,49
6,46,4,20,1,40,1973,750,4,9370,33200,217,49
6,62,6,16,2,50,1989,750,5,9070,20300,217,49
6,39,1,21,2,20,1999,750,6,8190,15900,217,49
6,24,1,21,1,40,2013,750,7,7380,100000,217,49
6,44,1,21,1,40,2001,750,7,3390,120000,217,49
6,41,NA,21,2,NA,2001,750,7,NA,0,217,49
6,13,NA,11,2,NA,2001,750,7,NA,NA,217,49
6,83,NA,21,1,NA,1955,750,2,NA,7900,217,49
6,54,1,16,2,14,1985,750,5,9070,7000,217,49
6,55,7,21,1,40,1973,750,4,4585,80000,217,49
6,37,NA,21,2,NA,1980,750,5,NA,0,217,49
6,42,8,19,2,40,1973,750,4,770,28400,217,49
6,43,7,16,1,40,1982,750,5,770,140000,217,49
6,39,1,21,1,40,1990,750,6,7680,65000,217,49
6,37,1,22,2,40,1995,750,6,6690,100000,217,49
6,31,6,21,1,48,1997,750,6,5170,40000,217,49
6,56,7,20,2,30,1985,750,5,4980,9800,217,49
6,57,1,20,1,40,1987,999,5,4870,38000,217,49
6,63,1,21,1,NA,1966,750,3,770,6000,217,49
6,55,6,19,1,32,1995,750,6,6170,36000,217,49
6,51,1,19,2,40,1995,750,6,8090,75000,217,49
6,22,1,21,2,24,1995,750,6,5790,600,217,49
6,17,NA,13,2,NA,1995,750,6,NA,0,217,49
6,48,1,21,1,40,2012,750,7,3390,220000,217,49
6,41,NA,16,2,NA,2012,750,7,NA,0,217,49
6,16,NA,12,1,NA,1996,750,6,NA,0,217,49
6,14,NA,10,1,NA,2012,750,7,NA,NA,217,49
6,43,3,21,2,40,1972,750,4,7870,85000,217,49
6,28,6,21,1,55,2000,750,7,7370,135000,217,49
6,57,1,21,1,50,2003,750,7,3490,30000,217,49
6,54,1,22,2,40,2003,750,7,7370,26300,217,49
6,55,NA,16,2,NA,2008,750,7,NA,15000,217,49
6,62,NA,19,1,NA,2008,750,7,NA,15000,217,49
6,26,NA,19,1,NA,2008,750,7,NA,0,217,49
6,25,NA,19,1,NA,2008,750,7,NA,0,217,49
6,48,6,21,2,20,1986,750,5,8980,13200,217,49
6,88,NA,21,1,NA,1989,750,5,NA,8800,217,49
6,87,NA,16,2,NA,1989,750,5,NA,8800,217,49
6,41,1,23,1,45,1973,750,4,7380,105000,217,49
6,60,6,16,1,63,1981,750,5,4880,15000,217,49
6,57,1,19,2,30,1981,750,5,4265,30000,217,49
6,54,1,21,2,40,1988,750,5,4470,36000,217,49
6,66,1,19,1,NA,1974,750,4,4795,10500,217,49
6,67,7,20,2,NA,1974,750,4,7580,6200,217,49
6,25,NA,22,1,NA,1990,750,6,NA,0,217,49
6,68,NA,20,2,NA,1975,750,4,NA,13200,217,49
6,50,6,22,1,36,1994,750,6,7980,308000,217,49
6,47,6,23,2,36,1994,750,6,7980,308000,217,49
6,39,7,23,2,80,1980,750,5,7270,200800,217,49
6,46,7,19,2,40,1974,795,4,4290,30000,217,49
6,55,7,20,1,20,1986,795,5,4290,18000,217,49
6,76,NA,19,2,NA,1967,750,3,NA,18400,217,49
6,54,1,24,2,45,1994,750,6,2190,125330,217,49
6,49,1,16,1,45,1994,750,6,8990,40000,217,49
6,49,1,16,2,40,1994,750,6,1170,70000,217,49
6,46,6,21,2,40,1976,750,4,770,68000,217,49
6,40,5,15,1,45,1986,999,5,6370,55000,217,49
6,39,NA,20,2,NA,2002,750,7,NA,0,217,49
6,65,1,19,1,NA,2007,750,7,8680,16200,217,49
6,60,1,4,2,40,2007,750,7,8190,14200,217,49
6,35,1,20,1,40,2001,750,7,5790,1200,217,49
6,29,1,19,1,40,2004,750,7,1270,15600,217,49
6,46,2,24,1,40,2013,750,7,7380,100000,217,49
6,45,NA,21,2,NA,2013,750,7,NA,0,217,49
6,18,NA,18,1,NA,2013,750,7,NA,0,217,49
6,16,NA,12,1,NA,2013,750,7,NA,0,217,49
6,13,NA,11,1,NA,2013,750,7,NA,NA,217,49
6,59,1,21,1,60,1978,750,4,8680,30000,217,49
6,55,1,16,2,60,1984,750,5,8680,75000,217,49
6,35,NA,22,1,NA,2013,750,7,NA,0,217,49
6,18,NA,16,2,NA,2009,750,7,NA,0,217,49
6,24,1,21,1,40,1990,750,6,6590,45000,217,49
6,52,7,19,1,50,1986,750,5,4970,27000,217,49
6,51,1,19,2,30,1990,750,6,4970,12900,217,49
6,48,1,24,2,32,1978,750,4,5070,120000,217,49
6,50,1,24,1,25,1977,750,4,7980,15000,217,49
6,39,1,21,1,40,2001,750,7,7280,102000,217,49
6,40,NA,16,2,NA,2001,750,7,NA,0,217,49
6,75,NA,22,1,NA,1963,750,3,NA,320000,217,49
6,70,NA,21,2,NA,1968,750,3,NA,4000,217,49
6,52,7,21,1,NA,2004,750,7,7490,0,217,49
6,53,1,21,2,40,2004,750,7,7970,25000,217,49
6,21,1,16,1,25,2004,750,7,8680,8000,217,49
6,20,4,16,2,NA,2004,750,7,8590,0,217,49
6,50,2,21,1,40,2010,750,7,9160,12000,217,49
6,53,6,21,1,NA,2005,750,7,5790,500,217,49
6,49,1,21,2,44,2006,750,7,1190,12000,217,49
6,20,1,16,2,30,2006,750,7,8680,11400,217,49
6,18,NA,14,2,NA,2006,750,7,NA,0,217,49
6,66,1,23,2,40,1984,999,5,8290,21000,217,49
6,21,NA,16,2,NA,2000,750,7,NA,0,217,49
6,80,NA,21,1,NA,1985,750,5,NA,9500,217,49
6,73,6,22,2,2,1995,750,6,8980,9100,217,49
6,61,NA,17,2,NA,1978,750,4,NA,60200,217,49
6,44,1,23,1,60,1974,750,4,7270,422000,217,49
6,45,NA,21,2,NA,1970,750,4,NA,0,217,49
6,65,7,23,1,45,1975,750,4,7970,72000,217,49
6,63,7,21,2,16,1975,750,4,7970,13400,217,49
6,38,1,21,2,NA,1981,750,5,8680,0,217,49
6,44,1,21,1,24,2004,750,7,7680,1300,217,49
6,35,1,16,2,33,2005,750,7,8680,36000,217,49
6,59,6,20,1,40,1985,750,5,4795,46000,217,49
6,56,1,20,2,40,1988,750,5,8680,44400,217,49
6,86,NA,19,1,NA,1983,750,5,NA,10000,217,49
6,10,NA,8,1,NA,2004,750,7,NA,NA,217,49
6,9,NA,7,1,NA,2003,750,7,NA,NA,217,49
6,8,NA,6,1,NA,2007,750,7,NA,NA,217,49
6,7,NA,5,2,NA,2006,750,7,NA,NA,217,49
6,54,7,20,1,70,1979,750,4,5580,25000,217,49
6,50,7,21,2,70,1983,750,5,5580,25000,217,49
6,63,1,20,1,48,1976,750,4,4970,30000,217,49
6,50,1,21,1,40,1985,750,5,3390,150020,217,49
6,51,1,21,2,40,1978,750,4,7380,130000,217,49
6,35,1,22,2,8,2000,750,7,5275,650,217,49
6,41,1,22,2,40,1981,750,5,7380,48900,217,49
6,38,1,21,1,40,2012,750,7,770,60000,217,49
6,37,NA,21,2,NA,2012,750,7,NA,0,217,49
6,6,NA,4,1,NA,2012,750,7,NA,NA,217,49
6,3,NA,1,2,NA,2012,750,7,NA,NA,217,49
6,73,NA,16,2,NA,1993,750,6,NA,10800,217,49
6,45,1,24,2,50,1972,750,4,8190,421000,217,49
6,40,1,21,1,40,2005,750,7,4390,38000,217,49
6,39,NA,19,2,NA,1987,750,5,NA,0,217,49
6,67,NA,18,2,NA,1985,750,5,NA,5400,217,49
6,57,1,20,2,40,1979,750,4,6870,35000,217,49
6,68,6,22,1,20,1976,750,4,7890,24000,217,49
6,59,2,21,2,4,1993,750,6,7860,3600,217,49
6,32,NA,16,1,NA,1993,750,6,NA,0,217,49
6,55,6,19,1,80,1985,750,5,8680,17500,217,49
6,53,6,16,2,80,1976,750,4,8680,17500,217,49
6,94,NA,16,2,NA,1976,750,4,NA,15500,217,49
6,50,4,22,2,37,1978,750,4,8370,65000,217,49
6,40,1,21,2,NA,1984,750,5,7070,0,217,49
6,44,3,22,1,40,1977,750,4,7870,100000,217,49
6,49,NA,9,2,NA,1986,750,5,NA,0,217,49
6,16,NA,13,1,NA,1997,750,6,NA,20,217,49
6,14,NA,11,2,NA,1999,750,6,NA,NA,217,49
6,47,1,23,1,40,1973,750,4,6290,70000,217,49
6,43,1,19,2,NA,2005,750,7,3390,0,217,49
6,19,1,16,1,25,2006,750,7,5370,2000,217,49
6,57,1,17,1,40,1984,750,5,4590,18000,217,49
6,53,1,16,2,40,1988,999,5,3990,21000,217,49
6,52,NA,21,2,NA,2001,750,7,NA,0,217,49
6,53,6,21,1,48,2001,750,7,770,32000,217,49
6,26,NA,19,1,NA,2001,750,7,NA,0,217,49
6,25,NA,19,2,NA,2001,750,7,NA,0,217,49
6,68,NA,16,1,NA,1968,750,3,NA,24400,217,49
6,76,NA,21,2,NA,1974,750,4,NA,10800,217,49
6,67,NA,21,1,NA,1995,750,6,NA,11100,217,49
6,36,1,22,2,25,2002,750,7,6670,2000,217,49
6,41,1,20,1,NA,2002,750,7,8270,0,217,49
6,46,NA,19,2,NA,2002,750,7,NA,20000,217,49
6,54,6,21,2,20,1978,750,4,7890,35000,217,49
6,35,4,22,2,40,1984,750,5,7390,92000,217,49
6,44,1,18,2,84,2006,750,7,8680,37000,217,49
6,44,1,16,1,84,2006,750,7,8680,40000,217,49
6,17,NA,14,2,NA,2006,750,7,NA,0,217,49
6,13,NA,10,2,NA,2006,750,7,NA,NA,217,49
6,31,1,22,1,40,1993,750,6,7380,120100,217,49
6,49,3,22,2,40,1976,750,4,7860,50000,217,49
6,48,1,22,1,70,1970,750,4,580,200000,217,49
6,79,NA,16,2,NA,1970,750,4,NA,17000,217,49
6,35,NA,21,1,NA,2012,750,7,NA,0,217,49
6,34,NA,21,2,NA,2012,750,7,NA,0,217,49
6,4,NA,1,2,NA,2012,750,7,NA,NA,217,49
6,60,6,20,1,40,1971,750,4,5592,60100,217,49
6,57,1,16,2,40,1971,750,4,4970,40000,217,49
6,51,5,19,2,40,1988,750,5,6370,40000,217,49
6,25,1,19,2,NA,1988,750,5,5380,0,217,49
6,85,NA,9,2,NA,1975,750,4,NA,17700,217,49
6,69,NA,18,2,NA,1969,750,3,NA,3600,217,49
6,57,6,16,1,40,1980,750,5,5275,36000,217,49
6,59,5,22,2,48,1969,750,3,9590,109040,217,49
6,86,NA,20,2,NA,1983,750,5,NA,10100,217,49
6,68,1,21,1,25,1981,750,5,7380,20400,217,49
6,69,NA,21,2,NA,1981,750,5,NA,7200,217,49
